4/1/2569 02:29:51 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/template-item | 204 | 0.210 ms
4/1/2569 02:29:51 | user=ST002 | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | POST /api/template-item | 401 | 16.646 ms
4/1/2569 02:29:51 | user=ST002 | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | POST /api/template-item | 401 | 10.481 ms
4/1/2569 02:29:51 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/refresh-token | 204 | 0.199 ms
4/1/2569 02:29:51 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | POST /api/refresh-token | 401 | 0.959 ms
4/1/2569 02:29:58 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/login | 204 | 0.292 ms
4/1/2569 02:29:58 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | POST /api/login | 200 | 197.060 ms
4/1/2569 02:30:01 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/dashboard-product-list?start=2026-01-01&end=2026-01-03 | 204 | 0.282 ms
4/1/2569 02:30:01 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/dashboard-product-list?start=2025-12-01&end=2025-12-31 | 204 | 0.231 ms
4/1/2569 02:30:01 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/dashboard-data?start=2026-01-01&end=2026-01-03 | 204 | 0.221 ms
4/1/2569 02:30:01 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/dashboard-data?start=2025-12-01&end=2025-12-31 | 204 | 0.229 ms
4/1/2569 02:30:01 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/dashboard-data?start=2026-01-01&end=2026-01-03 | 204 | 0.202 ms
4/1/2569 02:30:01 | user=- | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | OPTIONS /api/dashboard-data?start=2025-12-01&end=2025-12-31 | 204 | 0.246 ms
4/1/2569 02:30:01 | user=admin | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | GET /api/dashboard-product-list?start=2026-01-01&end=2026-01-03 | 304 | 16.645 ms
4/1/2569 02:30:01 | user=admin | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | GET /api/dashboard-product-list?start=2025-12-01&end=2025-12-31 | 304 | 62.575 ms
4/1/2569 02:30:01 | user=admin | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | GET /api/dashboard-data?start=2026-01-01&end=2026-01-03 | 304 | 56.232 ms
4/1/2569 02:30:01 | user=admin | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | GET /api/dashboard-data?start=2025-12-01&end=2025-12-31 | 304 | 64.473 ms
4/1/2569 02:30:01 | user=admin | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | GET /api/dashboard-product-list?start=2026-01-01&end=2026-01-03 | 304 | 21.672 ms
4/1/2569 02:30:01 | user=admin | ip=::1 | agent="Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1" | GET /api/dashboard-product-list?start=2025-12-01&end=2025-12-31 | 304 | 42.742 ms
